"","x"
"1",10003475
"2",10383483
"3",10645851
"4",1099645
"5",11453123
"6",1201181
"7",12950506
"8",13016412
"9",1308075
"10",13290535
"11",15159087
"12",15320672
"13",15924843
"14",18303711
"15",20492449
"16",20606532
"17",20734440
"18",22669964
"19",22901224
"20",23276057
"21",23769951
"22",24769608
"23",25590937
"24",26665573
"25",27181524
"26",27291568
"27",28996617
"28",29012428
"29",29061857
"30",29084753
"31",29293166
"32",29299133
"33",29303065
"34",29484010
"35",30053469
"36",30077382
"37",30470394
"38",30691209
"39",347756
"40",358781
"41",3972533
"42",4015172
"43",4729594
"44",4874593
"45",5282238
"46",543983
"47",555728
"48",6830650
"49",6949172
"50",7138315
"51",7220719
"52",7364891
"53",10511977
"54",11441127
"55",11578702
"56",11710830
"57",12441728
"58",13870721
"59",14036456
"60",15405075
"61",15702642
"62",18499815
"63",19047383
"64",1923251
"65",19312692
"66",1949271
"67",20242465
"68",21046228
"69",21237686
"70",21794471
"71",21869234
"72",22116490
"73",22116652
"74",22868331
"75",24753354
"76",25759021
"77",25827089
"78",26097098
"79",2631506
"80",26425219
"81",2655988
"82",27000093
"83",27096935
"84",27176882
"85",27703000
"86",28180497
"87",28529869
"88",28930287
"89",29426493
"90",29605584
"91",29692641
"92",2973886
"93",2980806
"94",30076861
"95",30084880
"96",30126252
"97",30629371
"98",309146
"99",3724412
"100",489525
"101",5034649
"102",5854694
"103",6048418
"104",7767480
"105",10939820
"106",1094002
"107",11163712
"108",1301713
"109",14412260
"110",15558149
"111",15996224
"112",18184293
"113",18226160
"114",18347427
"115",18824814
"116",18862849
"117",19949967
"118",20004884
"119",2012072
"120",20236355
"121",20371021
"122",2148793
"123",21982761
"124",2207751
"125",22252742
"126",22524092
"127",23653078
"128",2366359
"129",23988004
"130",24425494
"131",24927677
"132",25726488
"133",26715623
"134",26986227
"135",26992789
"136",27657256
"137",28170327
"138",28511256
"139",28798736
"140",29149393
"141",29244441
"142",29732845
"143",30376896
"144",30651926
"145",30672338
"146",4567145
"147",4742140
"148",923514
"149",9579864
"150",9788402
"151",9873524
"152",9959150
"153",10126454
"154",10364487
"155",10442237
"156",10879440
"157",11778621
"158",12243847
"159",12466039
"160",12650313
"161",13221101
