"","x"
"1",10037063
"2",10189533
"3",10473023
"4",1108202
"5",11088471
"6",12628649
"7",12695735
"8",12998612
"9",13380733
"10",13892555
"11",13914325
"12",15096195
"13",15159087
"14",15191162
"15",15227612
"16",15924843
"17",16256321
"18",16967331
"19",17736118
"20",18276965
"21",19233266
"22",19261832
"23",19694030
"24",20647942
"25",20734440
"26",20790907
"27",21212105
"28",21513525
"29",218957
"30",21960222
"31",21966190
"32",22052085
"33",22133373
"34",22290081
"35",23276057
"36",24192130
"37",24300940
"38",24597483
"39",24900520
"40",2528195
"41",25667941
"42",26526973
"43",2700265
"44",27035841
"45",27181524
"46",27550522
"47",27558227
"48",28118693
"49",28258058
"50",28665957
"51",28777296
"52",29449749
"53",29643004
"54",29736939
"55",29759961
"56",30000764
"57",30837748
"58",3099542
"59",3624205
"60",4773171
"61",5401172
"62",555728
"63",5587799
"64",6002552
"65",6231835
"66",636980
"67",7091335
"68",7138315
"69",7220719
"70",7364891
"71",7387986
"72",9099757
"73",9120455
"74",922090
"75",9572760
"76",10212302
"77",10340580
"78",10384456
"79",10596901
"80",10754022
"81",10770754
"82",10871644
"83",1094245
"84",11554465
"85",11616141
"86",1216096
"87",12572679
"88",13400885
"89",13417995
"90",15831928
"91",1609739
"92",18499815
"93",18798840
"94",19125665
"95",1975885
"96",20245471
"97",20695904
"98",20722318
"99",21347567
"100",21474872
"101",22006276
"102",2278031
"103",22903584
"104",23199612
"105",23933841
"106",24146565
"107",24444573
"108",25641634
"109",26009969
"110",26538890
"111",26657799
"112",26707522
"113",2760387
"114",28248960
"115",28258310
"116",28925193
"117",29126414
"118",29224343
"119",29636454
"120",29686648
"121",29760096
"122",29791461
"123",2986567
"124",30028693
"125",30076861
"126",30104454
"127",30126252
"128",30629371
"129",3443946
"130",4367560
"131",4382743
"132",4639360
"133",4913086
"134",5476414
"135",597011
"136",6280652
"137",6554478
"138",9005805
"139",9100160
"140",9124353
"141",9439633
"142",9727138
"143",10522264
"144",10534298
"145",10656626
"146",10778379
"147",12223299
"148",12601415
"149",12794557
"150",12887347
"151",14673674
"152",147228
"153",14762648
"154",1513132
"155",15996224
"156",16064669
"157",1643642
"158",16549931
"159",17009937
"160",17222679
"161",18059508
"162",18347427
"163",18824814
"164",20238263
"165",20629016
"166",21904451
"167",22130783
"168",22451804
"169",2256108
"170",2303853
"171",2345334
"172",23940024
"173",23958232
"174",25687833
"175",26022307
"176",26090203
"177",26596446
"178",26715623
"179",26986227
"180",27312447
"181",28225489
"182",28442947
"183",28770358
"184",29016327
"185",29227837
"186",2973030
"187",29732845
"188",30669639
"189",30684867
"190",3098897
"191",3319611
"192",3816682
"193",4328465
"194",4386191
"195",4508861
"196",5327519
"197",585385
"198",6183699
"199",6317751
"200",6407742
"201",6939779
"202",7133943
"203",7266801
"204",9873524
"205",10119902
"206",12243847
"207",12271882
"208",12280378
"209",12496432
"210",13025532
"211",13519697
"212",13961399
"213",14144269
"214",1453608
"215",14559881
"216",14575423
"217",14780595
"218",14821652
"219",15795174
"220",15809538
"221",15969865
"222",16185288
"223",1678285
"224",16877550
"225",17150102
"226",18891118
"227",2005891
"228",2116870
"229",21932811
"230",22165876
"231",22457403
"232",22794209
"233",2335084
"234",23886918
"235",24491032
"236",24537941
"237",24597729
"238",24885486
"239",25647315
"240",25650140
"241",25689003
"242",25801610
"243",27227904
"244",27498506
"245",27880457
"246",28322365
"247",28527845
"248",28617179
"249",28770197
"250",28778315
"251",28869567
"252",28968800
"253",29450218
"254",29613398
"255",30023582
"256",30377706
"257",30401528
"258",30562584
"259",3230863
"260",3300720
"261",4229646
"262",4806050
"263",4873173
"264",5071226
"265",656459
"266",7428389
"267",754351
"268",7707154
"269",7840200
"270",881198
"271",9520247
"272",9537195
"273",9740298
"274",10573846
"275",10730607
"276",11127831
"277",11308579
"278",11331582
"279",11679226
"280",1181980
"281",11942917
"282",12333389
"283",12568730
"284",13372600
"285",14020735
"286",1493560
"287",15108212
"288",1567144
"289",15889063
"290",16301135
"291",16574999
"292",17140140
"293",179775
"294",18198399
"295",18559299
"296",1905759
"297",19592208
"298",1961252
"299",21007387
"300",21062232
"301",22016700
"302",2221351
"303",22328894
"304",22626857
"305",22750868
"306",23175503
"307",24161020
"308",25944307
"309",26485883
"310",27666582
"311",27683709
"312",28246929
"313",28652874
"314",28761206
"315",28785732
"316",28921794
"317",29186213
"318",29259401
"319",29293584
"320",29418189
"321",29496129
"322",29702048
"323",30579901
"324",3188772
"325",3230288
"326",3282759
"327",3306275
"328",3437388
"329",3683196
"330",5442829
"331",55004
"332",5632044
"333",5877755
"334",6182485
"335",7040380
"336",827289
"337",903996
"338",9878189
"339",10296502
"340",10470274
"341",10549222
"342",11237263
"343",1126360
"344",11566628
"345",11672576
"346",12665030
"347",13840665
"348",14013491
"349",14476443
"350",14674856
"351",14972738
"352",15350043
"353",15406546
"354",15504637
"355",15679922
"356",16412160
"357",17126499
"358",17875470
"359",19353655
"360",19781966
"361",21048761
"362",21417185
"363",21500812
"364",21511423
"365",22137275
"366",22762703
"367",2276334
"368",228483
"369",2358063
"370",23937210
"371",2464092
"372",24763122
"373",26168345
"374",27795832
"375",2782558
"376",28837852
"377",29166937
"378",29275927
"379",29387842
"380",29398534
"381",29517180
"382",29536008
"383",29728483
"384",29999825
"385",30029876
"386",30385196
"387",30392116
"388",30444811
"389",30463559
"390",30703228
"391",30773852
"392",3093093
"393",4558940
"394",4955354
"395",5893668
"396",6033553
"397",6074224
"398",6881578
"399",7440990
"400",7458496
"401",9062275
"402",9741316
"403",9950468
"404",10296134
"405",10464614
"406",10671326
"407",10886977
"408",11131667
"409",11846123
"410",12257881
"411",12714801
"412",12921432
"413",13646428
"414",14545780
"415",14567902
"416",15829395
"417",15892214
"418",15961749
"419",1601138
"420",16435094
"421",1702026
"422",17033673
"423",17115933
"424",17694265
"425",18523849
"426",18548284
"427",18800049
"428",19334819
"429",20466417
"430",21066744
"431",21472770
"432",2173294
"433",22066446
"434",23164525
"435",23311567
"436",23517488
"437",24128551
"438",24696560
"439",2538866
"440",25723287
"441",25744068
"442",26628930
"443",27419146
"444",27642922
"445",27764143
"446",27846034
"447",28105981
"448",28284154
"449",28394161
"450",28684763
"451",28789550
"452",28964870
"453",29261130
"454",29289545
"455",29340880
"456",29610565
"457",29613607
"458",29736089
"459",29756348
"460",29764943
"461",30261950
"462",3900592
"463",5004683
"464",5625170
"465",6957809
"466",7002753
"467",7045495
"468",7240380
"469",7458253
"470",7513396
"471",7666801
"472",7745605
"473",9169953
"474",926975
"475",9451003
"476",9881141
"477",10517832
"478",12090274
"479",12561424
"480",13130548
"481",13316579
"482",14602255
"483",14997869
"484",15291212
"485",15836767
"486",16301183
"487",16864954
"488",16889713
"489",17953709
"490",18251149
"491",18613147
"492",19382619
"493",19955965
"494",20211069
"495",20513631
"496",20529724
"497",20778250
"498",21520948
"499",2172197
"500",21904500
"501",21989462
"502",2238707
"503",23392145
"504",23402864
"505",23767149
"506",23870423
"507",2427112
"508",24421402
"509",24919833
"510",24934359
"511",25582807
"512",26040384
"513",26587379
"514",26955983
"515",26968583
"516",27011330
"517",27091873
"518",27128313
"519",27140166
"520",27647298
"521",28179675
"522",28216510
"523",28220100
"524",2847567
"525",29760759
"526",29777751
"527",29862260
"528",30313250
"529",30718477
"530",3551519
"531",4271652
"532",4304277
"533",6202186
"534",6555419
"535",6974621
"536",7381790
"537",7705169
"538",7773146
"539",9446730
"540",9812599
"541",9963277
"542",10058347
"543",10197929
"544",11203803
"545",11852687
"546",12906620
"547",13330303
"548",13733667
"549",13813938
"550",14427675
"551",14578146
"552",14672176
"553",14959385
"554",15180478
"555",16046737
"556",16053414
"557",16082340
"558",16290187
"559",16315819
"560",16426799
"561",16565687
"562",18144518
"563",18663099
"564",18931659
"565",19690348
"566",19786720
"567",20264972
"568",20671970
"569",23204117
"570",23653416
"571",2404875
"572",24533643
"573",24641535
"574",25689585
"575",25698170
"576",25702219
"577",25763889
"578",25767830
"579",25957820
"580",26677415
"581",27154810
"582",27488304
"583",27491779
"584",27524899
"585",27583597
"586",28500939
"587",28658926
"588",28900854
"589",29066210
"590",29099601
"591",29112317
"592",29115198
"593",29347326
"594",29699100
"595",29792160
"596",29854116
"597",29859193
"598",30060649
"599",30134322
"600",30235618
"601",30258721
"602",30278530
"603",30492695
"604",3104831
"605",3567414
"606",3627958
"607",4418713
"608",5844575
"609",5881970
"610",6718482
"611",800796
"612",9489185
"613",9606742
"614",9668889
"615",104006
"616",10532729
"617",10602181
"618",11031472
"619",1141880
"620",11574326
"621",12347217
"622",12553614
"623",12969334
"624",12976543
"625",13564053
"626",13981384
"627",14716196
"628",149106
"629",15030574
"630",15695388
"631",15717897
"632",1648851
"633",17710935
"634",18345903
"635",18490290
"636",18880765
"637",19065255
"638",19674482
"639",19748598
"640",19947623
"641",208759
"642",21235181
"643",21459741
"644",21857947
