"","x"
"1",10003475
"2",10189533
"3",10259553
"4",10803792
"5",10871148
"6",11073099
"7",11284608
"8",11360739
"9",11384120
"10",11644987
"11",12077227
"12",12199925
"13",12304873
"14",12387520
"15",12577510
"16",12628649
"17",13016412
"18",13034638
"19",1308075
"20",13140711
"21",13152051
"22",13233538
"23",13236094
"24",13298942
"25",1343436
"26",13473686
"27",13484666
"28",13802662
"29",13892555
"30",14072833
"31",14187953
"32",14245769
"33",14266063
"34",14793723
"35",1519341
"36",15291530
"37",15778855
"38",15796143
"39",15884802
"40",1667338
"41",17011987
"42",17048167
"43",17061487
"44",17134431
"45",17166229
"46",18206755
"47",18276965
"48",18506301
"49",18609794
"50",19318082
"51",195764
"52",19615730
"53",2013529
"54",20647942
"55",20782401
"56",20790907
"57",20938660
"58",21077836
"59",21297274
"60",218957
"61",21936409
"62",21962086
"63",21966190
"64",22052085
"65",2218685
"66",22290081
"67",22562331
"68",2293051
"69",23276057
"70",23323757
"71",23769951
"72",23779419
"73",24276993
"74",24300940
"75",24900520
"76",24923534
"77",24956925
"78",2528195
"79",25556962
"80",25667941
"81",25764934
"82",2586821
"83",25881448
"84",26006268
"85",26022350
"86",26045283
"87",26486275
"88",26704560
"89",26940766
"90",27035841
"91",27102530
"92",27103872
"93",27252561
"94",27291568
"95",27394490
"96",27457869
"97",27484148
"98",27550522
"99",27757703
"100",27839883
"101",27889789
"102",27941357
"103",28033840
"104",28059941
"105",28204831
"106",28275725
"107",28291682
"108",28385363
"109",28444240
"110",28576118
"111",28665957
"112",28756226
"113",28799175
"114",28810360
"115",2882552
"116",28853426
"117",29044603
"118",29084753
"119",29225396
"120",29245781
"121",29355581
"122",29359839
"123",29448984
"124",29449749
"125",29566884
"126",29643004
"127",29720927
"128",30058671
"129",30646867
"130",3075593
"131",3120402
"132",3408502
"133",3464690
"134",347756
"135",3597260
"136",3624205
"137",3918911
"138",4015172
"139",4230722
"140",4315205
"141",436612
"142",4543932
"143",4571184
"144",4729594
"145",4785899
"146",5010950
"147",5056978
"148",5312360
"149",5608191
"150",5630790
"151",6186946
"152",650489
"153",6776309
"154",7327414
"155",7364891
"156",7459670
"157",7466546
"158",857714
"159",8922647
"160",8983578
"161",899853
"162",9007424
"163",9283617
"164",9761157
"165",10212302
"166",10213888
"167",10708870
"168",10742313
"169",10770754
"170",11163667
"171",11295058
"172",11305083
"173",11455320
"174",11481691
"175",11616141
"176",11625871
"177",12137285
"178",1216096
"179",12441728
"180",12467054
"181",12469782
"182",12558062
"183",12775764
"184",13002760
"185",13275434
"186",13417995
"187",13419083
"188",13476611
"189",13573316
"190",13631465
"191",13910924
"192",13989694
"193",14083445
"194",14582009
"195",14823964
"196",14853286
"197",14857138
"198",14871105
"199",15068205
"200",15125418
"201",15252886
"202",15440067
"203",15735952
"204",15738418
"205",16452748
"206",16556806
"207",16881788
"208",17133910
"209",17296091
"210",17309933
"211",17802287
"212",17875052
"213",18126728
"214",18395757
"215",19047383
"216",19312692
"217",1975885
"218",19774384
"219",19799594
"220",19820742
"221",19905883
"222",20408281
"223",20603202
"224",21349763
"225",21474872
"226",21502014
"227",21869234
"228",22185232
"229",2278031
"230",22907030
"231",23758026
"232",24314883
"233",24423828
"234",2452460
"235",25696823
"236",26104567
"237",26406184
"238",26455900
"239",2655988
"240",26704110
"241",26707522
"242",26769344
"243",26775293
"244",26943403
"245",27210261
"246",27267070
"247",27406460
"248",27532703
"249",27596802
"250",27602435
"251",27752673
"252",28403156
"253",28446681
"254",28543467
"255",28780860
"256",28825149
"257",29096913
"258",29102140
"259",2911037
"260",29138817
"261",29224343
"262",29338446
"263",29380773
"264",29472915
"265",29511245
"266",29686648
"267",29697141
"268",29762580
"269",29779357
"270",30011907
"271",30049230
"272",30076861
"273",30084466
"274",30104454
"275",30126252
"276",30246916
"277",30273358
"278",30395894
"279",30629371
"280",30675956
"281",30680275
"282",3307406
"283",3411897
"284",3429410
"285",3435558
"286",3724412
"287",3884000
"288",4367560
"289",4375372
"290",439368
"291",4409095
"292",4578944
"293",4609255
"294",507975
"295",5276380
"296",5476414
"297",5504908
"298",5680246
"299",6347360
"300",6554478
"301",6602249
"302",8957127
"303",900086
"304",9124353
"305",9226459
"306",9273862
"307",9439633
"308",9551935
"309",9557371
"310",9672922
"311",9705961
"312",9727020
"313",9748090
"314",9812179
"315",10019001
"316",10386365
"317",10489901
"318",10656626
"319",10726808
"320",10778379
"321",10939820
"322",10992551
"323",11114653
"324",11163712
"325",11452027
"326",11870456
"327",12014804
"328",12083222
"329",12129555
"330",12194201
"331",12268281
"332",12390339
"333",12515277
"334",12539389
"335",12880740
"336",12985889
"337",13577502
"338",13696582
"339",13913229
"340",14296864
"341",14423402
"342",1475243
"343",15011974
"344",15030685
"345",15281236
"346",15364595
"347",15585086
"348",15667878
"349",15801175
"350",15894605
"351",15951863
"352",16064669
"353",16389588
"354",16549481
"355",17098858
"356",17222679
"357",17713070
"358",17789491
"359",18483804
"360",1876453
"361",18815454
"362",18956043
"363",18986716
"364",19055196
"365",19782854
"366",19797975
"367",2012072
"368",20980575
"369",2148793
"370",218472
"371",2192244
"372",21929661
"373",22005674
"374",22083001
"375",22130783
"376",22331997
"377",2256108
"378",22672539
"379",22837624
"380",23168455
"381",2366359
"382",23774885
"383",23864713
"384",23958232
"385",24402435
"386",24425494
"387",24501048
"388",24817183
"389",2537520
"390",25696455
"391",25745531
"392",25979523
"393",26143457
"394",26418263
"395",26580641
"396",26715623
"397",26716145
"398",27125096
"399",27129524
"400",27329890
"401",27340969
"402",28032537
"403",28122654
"404",28511256
"405",28692526
"406",28770358
"407",28989699
"408",29193132
"409",29244441
"410",29327917
"411",29605710
"412",29665831
"413",29809480
"414",29813926
"415",30078275
"416",30651926
"417",3419809
"418",3661477
"419",3697630
"420",3771691
"421",3941908
"422",4385912
"423",4386191
"424",5294237
"425",530277
"426",5428779
"427",6280860
"428",6636414
"429",6677248
"430",670263
"431",6874816
"432",7081824
"433",7133943
"434",7142853
"435",7266801
"436",7630112
"437",826314
"438",9043516
"439",9150193
"440",9226711
"441",9505801
"442",9712432
"443",973708
"444",9827796
"445",9931880
"446",10049469
"447",10842152
"448",10863221
"449",11678622
"450",11710175
"451",11878864
"452",11934159
"453",12247212
"454",12415279
"455",12423423
"456",12491400
"457",12677594
"458",12875396
"459",12975476
"460",13025532
"461",13064007
"462",13144116
"463",13350063
"464",13519697
"465",13698158
"466",13779527
"467",13981577
"468",13985393
"469",14559881
"470",14757393
"471",14915739
"472",14941910
"473",1497493
"474",15155606
"475",15237948
"476",15304349
"477",15522086
"478",15813380
"479",15866661
"480",16006213
"481",1630142
"482",16442994
"483",1678285
"484",16877550
"485",1865799
"486",18844624
"487",19384604
"488",193985
"489",20277603
"490",20879254
"491",2126914
"492",21482073
"493",22009365
"494",22457403
"495",2323537
"496",23261966
"497",23771429
"498",24206209
"499",24332416
"500",24480791
"501",24491032
"502",24885486
"503",25562300
"504",25689003
"505",26047437
"506",26241549
"507",26542149
"508",26679850
"509",26939077
"510",26942802
"511",27223890
"512",27400413
"513",27467186
"514",27539889
"515",27758804
"516",27804505
"517",27997160
"518",28004629
"519",28065109
"520",28652954
"521",28683248
"522",28770197
"523",28778315
"524",28838165
"525",28876370
"526",28980608
"527",29540254
"528",29564528
"529",29603678
"530",29732189
"531",29755328
"532",29783688
"533",29795559
"534",29807041
"535",29955489
"536",30007382
"537",30124265
"538",30240996
"539",30340049
"540",30665094
"541",3093910
"542",3230863
"543",3379896
"544",3849948
"545",4204229
"546",4440029
"547",4571231
"548",4606214
"549",5381231
"550",5530055
"551",651878
"552",6523159
"553",7129165
"554",7293163
"555",754351
"556",7608460
"557",7683601
"558",7805740
"559",839780
"560",84579
"561",9437114
"562",9486994
"563",9520247
"564",9963930
"565",9964290
"566",10048786
"567",10238901
"568",10273894
"569",10532148
"570",10550995
"571",10696859
"572",10699333
"573",10739581
"574",10972744
"575",11080356
"576",11113845
"577",11127831
"578",1114975
"579",11331582
"580",11457024
"581",11515948
"582",11533605
"583",11689315
"584",11851710
"585",1189810
"586",1237456
"587",13040059
"588",13068851
"589",13142579
"590",13213741
"591",1327447
"592",13297604
"593",13507826
"594",13609526
"595",13615312
"596",13708841
"597",13709444
"598",14252657
"599",14430857
"600",1443114
"601",14684700
"602",14702655
"603",14920842
"604",14994247
"605",15102164
"606",15144302
"607",15445353
"608",15565530
"609",15647133
"610",15825946
"611",15979009
"612",16122288
"613",1621152
"614",16574999
"615",16945212
"616",1695340
"617",16955419
"618",17211745
"619",1730834
"620",17852159
"621",179775
"622",18103555
"623",18109153
"624",18175141
"625",18186158
"626",18437960
"627",18499250
"628",18572212
"629",1877959
"630",1905759
"631",19278865
"632",20029771
"633",20255112
"634",20373012
"635",20518084
"636",20855143
"637",21007387
"638",21086957
"639",22598318
"640",22626857
"641",22750868
"642",22798602
"643",23174900
"644",23181245
"645",23317983
"646",24115454
"647",24202853
"648",24237044
"649",24423920
"650",24457707
"651",246626
"652",24899716
"653",24947488
"654",25668061
"655",25710766
"656",25809361
"657",25999866
"658",26019781
"659",26116198
"660",26169028
"661",26415961
"662",26468459
"663",26583361
"664",26622303
"665",27245112
"666",27409181
"667",27853241
"668",28286097
"669",28519296
"670",28636511
"671",28843629
"672",28940423
"673",28980285
"674",29015807
"675",29054697
"676",29186213
"677",29251652
"678",29310809
"679",29374421
"680",29381630
"681",29536089
"682",29541227
"683",29689738
"684",29702048
"685",29723081
"686",29749876
"687",29778513
"688",29781744
"689",29782798
"690",29997141
"691",30085774
"692",30174135
"693",30250716
"694",30308721
"695",30359969
"696",30443749
"697",30446629
"698",30667985
"699",3188772
"700",3230288
"701",3531220
"702",4115175
"703",4175791
"704",51152
"705",5385085
"706",5442829
"707",5547616
"708",6053730
"709",6160975
"710",623933
"711",627047
"712",6445661
"713",6530819
"714",6605708
"715",6897552
"716",7205260
"717",7730889
"718",7824902
"719",797012
"720",827289
"721",927125
"722",9481099
"723",9562387
"724",9670080
"725",9764086
"726",9830659
"727",10215682
"728",10803508
"729",10863674
"730",11119282
"731",11277250
"732",11404401
"733",11536694
"734",11624777
"735",11672576
"736",1207360
"737",12081074
"738",12665030
"739",12779133
"740",13041040
"741",13280865
"742",13411418
"743",13548787
"744",13578766
"745",13617221
"746",13621956
"747",13730577
"748",14013491
"749",14119737
"750",14151812
"751",14418429
"752",14499501
"753",14573067
"754",14665658
"755",14766304
"756",14808622
"757",15001275
"758",15356335
"759",15406546
"760",15536362
"761",1567271
"762",15681442
"763",15941164
"764",17094396
"765",17152300
"766",17875470
"767",18351146
"768",1840392
"769",19284652
"770",1998866
"771",20599563
"772",20849934
"773",2095335
"774",21473859
"775",21482237
"776",21511423
"777",21909035
"778",22033793
"779",22121506
"780",22125692
"781",22308473
"782",22403107
"783",22704040
"784",22705751
"785",22840984
"786",23202945
"787",23938471
"788",24268366
"789",24387157
"790",2551734
"791",26168345
"792",26183159
"793",26510678
"794",26586693
"795",27043496
"796",27147059
"797",27157111
"798",27617767
"799",27682945
"800",27890179
"801",27917601
"802",27941857
"803",28040685
"804",28176667
"805",28233104
"806",28341041
"807",28415940
"808",28516830
"809",28799800
"810",28996423
"811",29063490
"812",29162508
"813",29189752
"814",2935486
"815",29441931
"816",29508469
"817",29689739
"818",29701527
"819",29704777
"820",29734594
"821",29768632
"822",29842486
"823",30182524
"824",30385196
"825",30394187
"826",30403401
"827",30444811
"828",30817376
"829",3614373
"830",3624543
"831",4219108
"832",4239449
"833",4617322
"834",4649534
"835",4955354
"836",5073217
"837",5075413
"838",5170255
"839",5365934
"840",5418449
"841",5685984
"842",6091397
"843",6353312
"844",6479250
"845",6897922
"846",6906642
"847",690813
"848",6939088
"849",7258010
"850",7579645
"851",762246
"852",7649458
"853",7653705
"854",7678177
"855",7681083
"856",8975815
"857",9005115
"858",9444037
"859",9632902
"860",967032
"861",9730129
"862",9741316
"863",9862178
"864",10279575
"865",10296134
"866",10298123
"867",10324628
"868",10459232
"869",10464614
"870",10647071
"871",10782882
"872",10806227
"873",10886977
"874",10895887
"875",11638638
"876",11846123
"877",11907521
"878",12317479
"879",12503698
"880",12609501
"881",12986954
"882",13149565
"883",13403896
"884",13443432
"885",13492816
"886",13528122
"887",13633873
"888",13646428
"889",1373259
"890",13786702
"891",13864660
"892",14159437
"893",14179741
"894",14426818
"895",14686854
